family,corpus,engine,query_id,intent,style,hit1,hit3,tokens_to_locate,latency_ms,status
contest-sqli,contest-find-sqli-login,read-all,csqli-find-01,locate-vuln,nl,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-find-sqli-login,rg,csqli-find-01,locate-vuln,nl,False,False,,4.9,no-match
contest-sqli,contest-find-sqli-login,sifs,csqli-find-01,locate-vuln,nl,True,True,256,9.6,ok
contest-sqli,contest-find-sqli-login,read-all,csqli-find-02,locate-vuln,nl,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-find-sqli-login,rg,csqli-find-02,locate-vuln,nl,False,False,,3.9,no-match
contest-sqli,contest-find-sqli-login,sifs,csqli-find-02,locate-vuln,nl,False,False,,6.6,ok
contest-sqli,contest-find-sqli-login,read-all,csqli-find-03,navigate,nl,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-find-sqli-login,rg,csqli-find-03,navigate,nl,False,False,,4.0,no-match
contest-sqli,contest-find-sqli-login,sifs,csqli-find-03,navigate,nl,True,True,560,7.1,ok
contest-sqli,contest-find-sqli-login,read-all,csqli-find-04,navigate,nl,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-find-sqli-login,rg,csqli-find-04,navigate,nl,False,False,,3.9,no-match
contest-sqli,contest-find-sqli-login,sifs,csqli-find-04,navigate,nl,False,False,1418,7.2,ok
contest-sqli,contest-find-sqli-login,read-all,csqli-find-05,locate-vuln,nl,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-find-sqli-login,rg,csqli-find-05,locate-vuln,nl,False,False,,4.0,no-match
contest-sqli,contest-find-sqli-login,sifs,csqli-find-05,locate-vuln,nl,True,True,383,6.5,ok
contest-sqli,contest-find-sqli-login,read-all,csqli-find-06,navigate,nl,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-find-sqli-login,rg,csqli-find-06,navigate,nl,False,False,,3.9,no-match
contest-sqli,contest-find-sqli-login,sifs,csqli-find-06,navigate,nl,False,False,,6.2,ok
contest-sqli,contest-find-sqli-login,read-all,csqli-find-kw1,locate-vuln,keyword,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-find-sqli-login,rg,csqli-find-kw1,locate-vuln,keyword,True,True,115,4.2,ok
contest-sqli,contest-find-sqli-login,sifs,csqli-find-kw1,locate-vuln,keyword,True,True,256,7.0,ok
contest-sqli,contest-find-sqli-login,read-all,csqli-find-kw2,navigate,keyword,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-find-sqli-login,rg,csqli-find-kw2,navigate,keyword,True,True,92,4.1,ok
contest-sqli,contest-find-sqli-login,sifs,csqli-find-kw2,navigate,keyword,True,True,25,3.2,ok
contest-sqli,contest-find-sqli-login,read-all,csqli-find-kw3,locate-vuln,keyword,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-find-sqli-login,rg,csqli-find-kw3,locate-vuln,keyword,True,True,122,4.2,ok
contest-sqli,contest-find-sqli-login,sifs,csqli-find-kw3,locate-vuln,keyword,True,True,383,6.8,ok
contest-sqli,contest-fix-sqli-login,read-all,csqli-fixlogin-01,locate-vuln,nl,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-fix-sqli-login,rg,csqli-fixlogin-01,locate-vuln,nl,False,False,,4.0,no-match
contest-sqli,contest-fix-sqli-login,sifs,csqli-fixlogin-01,locate-vuln,nl,False,False,1059,7.1,ok
contest-sqli,contest-fix-sqli-login,read-all,csqli-fixlogin-02,locate-vuln,nl,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-fix-sqli-login,rg,csqli-fixlogin-02,locate-vuln,nl,False,False,,3.9,no-match
contest-sqli,contest-fix-sqli-login,sifs,csqli-fixlogin-02,locate-vuln,nl,True,True,256,6.6,ok
contest-sqli,contest-fix-sqli-login,read-all,csqli-fixlogin-03,navigate,nl,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-fix-sqli-login,rg,csqli-fixlogin-03,navigate,nl,False,False,,4.0,no-match
contest-sqli,contest-fix-sqli-login,sifs,csqli-fixlogin-03,navigate,nl,True,True,383,6.5,ok
contest-sqli,contest-fix-sqli-login,read-all,csqli-fixlogin-04,navigate,nl,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-fix-sqli-login,rg,csqli-fixlogin-04,navigate,nl,False,False,,4.1,no-match
contest-sqli,contest-fix-sqli-login,sifs,csqli-fixlogin-04,navigate,nl,True,True,463,6.7,ok
contest-sqli,contest-fix-sqli-login,read-all,csqli-fixlogin-kw1,locate-vuln,keyword,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-fix-sqli-login,rg,csqli-fixlogin-kw1,locate-vuln,keyword,True,True,115,4.1,ok
contest-sqli,contest-fix-sqli-login,sifs,csqli-fixlogin-kw1,locate-vuln,keyword,True,True,256,6.8,ok
contest-sqli,contest-fix-sqli-login,read-all,csqli-fixlogin-kw2,navigate,keyword,True,True,4948,0.2,read 14 file(s)
contest-sqli,contest-fix-sqli-login,rg,csqli-fixlogin-kw2,navigate,keyword,True,True,119,4.0,ok
contest-sqli,contest-fix-sqli-login,sifs,csqli-fixlogin-kw2,navigate,keyword,True,True,463,6.8,ok
contest-sqli,contest-fix-sqli-search,read-all,csqli-fixsearch-01,locate-vuln,nl,True,True,4938,0.2,read 14 file(s)
contest-sqli,contest-fix-sqli-search,rg,csqli-fixsearch-01,locate-vuln,nl,False,False,,4.0,no-match
contest-sqli,contest-fix-sqli-search,sifs,csqli-fixsearch-01,locate-vuln,nl,True,True,166,7.0,ok
contest-sqli,contest-fix-sqli-search,read-all,csqli-fixsearch-02,navigate,nl,True,True,4938,0.2,read 14 file(s)
contest-sqli,contest-fix-sqli-search,rg,csqli-fixsearch-02,navigate,nl,False,False,,3.9,no-match
contest-sqli,contest-fix-sqli-search,sifs,csqli-fixsearch-02,navigate,nl,True,True,166,6.5,ok
contest-sqli,contest-fix-sqli-search,read-all,csqli-fixsearch-03,navigate,nl,True,True,4938,0.2,read 14 file(s)
contest-sqli,contest-fix-sqli-search,rg,csqli-fixsearch-03,navigate,nl,False,False,,3.9,no-match
contest-sqli,contest-fix-sqli-search,sifs,csqli-fixsearch-03,navigate,nl,True,True,139,6.5,ok
contest-sqli,contest-fix-sqli-search,read-all,csqli-fixsearch-kw1,locate-vuln,keyword,True,True,4938,0.2,read 14 file(s)
contest-sqli,contest-fix-sqli-search,rg,csqli-fixsearch-kw1,locate-vuln,keyword,True,True,123,4.1,ok
contest-sqli,contest-fix-sqli-search,sifs,csqli-fixsearch-kw1,locate-vuln,keyword,True,True,166,6.4,ok
seccodebench,seccodebench-cwe89,read-all,sec-cwe89-01,locate-vuln,nl,True,True,409,0.1,read 4 file(s)
seccodebench,seccodebench-cwe89,rg,sec-cwe89-01,locate-vuln,nl,False,False,,4.0,no-match
seccodebench,seccodebench-cwe89,sifs,sec-cwe89-01,locate-vuln,nl,True,True,245,4.0,ok
seccodebench,seccodebench-cwe89,read-all,sec-cwe89-02,locate-vuln,nl,True,True,409,0.1,read 4 file(s)
seccodebench,seccodebench-cwe89,rg,sec-cwe89-02,locate-vuln,nl,False,False,,3.8,no-match
seccodebench,seccodebench-cwe89,sifs,sec-cwe89-02,locate-vuln,nl,True,True,251,4.1,ok
seccodebench,seccodebench-cwe89,read-all,sec-cwe89-03,navigate,nl,True,True,409,0.1,read 4 file(s)
seccodebench,seccodebench-cwe89,rg,sec-cwe89-03,navigate,nl,False,False,,3.9,no-match
seccodebench,seccodebench-cwe89,sifs,sec-cwe89-03,navigate,nl,True,True,171,4.1,ok
seccodebench,seccodebench-cwe89,read-all,sec-cwe89-kw1,locate-vuln,keyword,True,True,409,0.1,read 4 file(s)
seccodebench,seccodebench-cwe89,rg,sec-cwe89-kw1,locate-vuln,keyword,True,True,81,4.0,ok
seccodebench,seccodebench-cwe89,sifs,sec-cwe89-kw1,locate-vuln,keyword,True,True,37,3.3,ok
seccodebench,seccodebench-cwe89,read-all,sec-cwe89-kw2,navigate,keyword,True,True,409,0.1,read 4 file(s)
seccodebench,seccodebench-cwe89,rg,sec-cwe89-kw2,navigate,keyword,False,True,265,4.0,ok
seccodebench,seccodebench-cwe89,sifs,sec-cwe89-kw2,navigate,keyword,True,True,24,3.2,ok
seccodebench,seccodebench-cwe89-sqlite3,read-all,sec-cwe89sql-01,locate-vuln,nl,True,True,513,0.1,read 3 file(s)
seccodebench,seccodebench-cwe89-sqlite3,rg,sec-cwe89sql-01,locate-vuln,nl,False,False,,3.8,no-match
seccodebench,seccodebench-cwe89-sqlite3,sifs,sec-cwe89sql-01,locate-vuln,nl,True,True,181,4.3,ok
seccodebench,seccodebench-cwe89-sqlite3,read-all,sec-cwe89sql-02,locate-vuln,nl,True,True,513,0.1,read 3 file(s)
seccodebench,seccodebench-cwe89-sqlite3,rg,sec-cwe89sql-02,locate-vuln,nl,False,False,,3.8,no-match
seccodebench,seccodebench-cwe89-sqlite3,sifs,sec-cwe89sql-02,locate-vuln,nl,True,True,181,4.3,ok
seccodebench,seccodebench-cwe89-sqlite3,read-all,sec-cwe89sql-kw1,locate-vuln,keyword,True,True,513,0.1,read 3 file(s)
seccodebench,seccodebench-cwe89-sqlite3,rg,sec-cwe89sql-kw1,locate-vuln,keyword,True,True,131,4.0,ok
seccodebench,seccodebench-cwe89-sqlite3,sifs,sec-cwe89sql-kw1,locate-vuln,keyword,True,True,187,4.5,ok
seccodebench,seccodebench-cwe94,read-all,sec-cwe94-01,locate-vuln,nl,True,True,187,0.1,read 2 file(s)
seccodebench,seccodebench-cwe94,rg,sec-cwe94-01,locate-vuln,nl,False,False,,4.1,no-match
seccodebench,seccodebench-cwe94,sifs,sec-cwe94-01,locate-vuln,nl,True,True,261,4.3,ok
seccodebench,seccodebench-cwe94,read-all,sec-cwe94-02,locate-vuln,nl,True,True,187,0.1,read 2 file(s)
seccodebench,seccodebench-cwe94,rg,sec-cwe94-02,locate-vuln,nl,False,False,,4.0,no-match
seccodebench,seccodebench-cwe94,sifs,sec-cwe94-02,locate-vuln,nl,True,True,261,4.2,ok
seccodebench,seccodebench-cwe94,read-all,sec-cwe94-kw1,locate-vuln,keyword,True,True,187,0.1,read 2 file(s)
seccodebench,seccodebench-cwe94,rg,sec-cwe94-kw1,locate-vuln,keyword,True,True,99,4.1,ok
seccodebench,seccodebench-cwe94,sifs,sec-cwe94-kw1,locate-vuln,keyword,True,True,261,4.1,ok
seccodebench,seccodebench-cwe78,read-all,sec-cwe78-01,locate-vuln,nl,True,True,121,0.1,read 2 file(s)
seccodebench,seccodebench-cwe78,rg,sec-cwe78-01,locate-vuln,nl,False,False,,3.9,no-match
seccodebench,seccodebench-cwe78,sifs,sec-cwe78-01,locate-vuln,nl,True,True,150,3.7,ok
seccodebench,seccodebench-cwe78,read-all,sec-cwe78-02,locate-vuln,nl,True,True,121,0.1,read 2 file(s)
seccodebench,seccodebench-cwe78,rg,sec-cwe78-02,locate-vuln,nl,False,False,,3.8,no-match
seccodebench,seccodebench-cwe78,sifs,sec-cwe78-02,locate-vuln,nl,True,True,150,3.8,ok
seccodebench,seccodebench-cwe78,read-all,sec-cwe78-kw1,locate-vuln,keyword,True,True,121,0.1,read 2 file(s)
seccodebench,seccodebench-cwe78,rg,sec-cwe78-kw1,locate-vuln,keyword,True,True,105,4.2,ok
seccodebench,seccodebench-cwe78,sifs,sec-cwe78-kw1,locate-vuln,keyword,True,True,150,4.1,ok
seccodebench,seccodebench-cwe1336,read-all,sec-cwe1336-01,locate-vuln,nl,True,True,92,0.1,read 2 file(s)
seccodebench,seccodebench-cwe1336,rg,sec-cwe1336-01,locate-vuln,nl,False,False,,3.9,no-match
seccodebench,seccodebench-cwe1336,sifs,sec-cwe1336-01,locate-vuln,nl,True,True,148,4.1,ok
seccodebench,seccodebench-cwe1336,read-all,sec-cwe1336-02,locate-vuln,nl,True,True,92,0.1,read 2 file(s)
seccodebench,seccodebench-cwe1336,rg,sec-cwe1336-02,locate-vuln,nl,False,False,,4.0,no-match
